Ambine,144.651466,-5.794056
Ambisiba,144.719487,-5.336869
Ambnum,144.915331,-5.728817
Amboin Station,143.506633,-4.606285
Ambok,144.891667,-4.624125
Ambokali/Ambokal,143.900128,-5.376895
Ambokon,143.270941,-3.642687
Amboku,145.262434,-5.92074
Ambolam,143.660256,-5.386646
Ambonge,149.824939,-6.302627
Ambonwari,143.617289,-4.607768
Ambopane,144.391191,-6.239402
Ambosou,143.348628,-3.6642
Ambra,144.293408,-5.775923
Ambra,144.288553,-5.780367
Ambra,144.269513,-5.81053
Ambra,144.292466,-5.808633
Ambra Plantation,144.29451,-5.779498
Ambra Plnt,144.292466,-5.808633
Ambre,141.028727,-5.48418
Ambron,145.771517,-5.130142
Ambtul,144.078042,-5.822271
Ambu,144.254519,-6.478366
Ambu,144.97009,-4.255055
Ambua,144.042432,-5.544706
Ambuasutz,146.888686,-6.618793
Ambuga,144.346219,-5.651555
Ambukanja,143.329128,-3.630504
Ambuken,142.767021,-3.946432
Ambul,144.12602,-5.937216
Ambumanda,144.044115,-5.605754
Ambunti (Health Centre),142.826192,-4.213577
Ambunti 1,142.817621,-4.215201
Ambunti Akademi,142.823835,-4.210379
Amburu,142.96438,-5.893385
Ambusa Street,145.792221,-5.23587
Amdi,144.847046,-5.912786
Amegempaka,145.614859,-6.375921
Ameiaka,146.484844,-8.402152
Amele,145.66725,-5.278565
Amelei,150.621,-6.1097
Amena,146.861753,-8.081462
Amenamo,145.239032,-6.461833
Ameng,145.607871,-4.731566
Ameni  (Tipas),141.766186,-3.981559
Amenu,146.839,-8.31466
Ameri,144.991989,-6.260478
Amfar Village,153.285793,-3.381042
Amgen Camp / Awangli,150.221,-6.27473
Amgoreng,149.467626,-6.093201
Ami,146.02583,-7.193102
Ami,150.23,-6.2268
Ami 1,142.983412,-3.587163
Ami 2,142.987642,-3.589627
Amia,144.883734,-6.284622
Amia No,144.885703,-6.272013
Amihak,149.637,-6.16835
Amik,144.354,-1.24164
Amik,144.646247,-5.723169
Amil 1,144.194691,-5.788685
Amil 2,144.197068,-5.789759
Amimai/Kiovi,145.227951,-6.446249
Aminauwa,145.86566,-7.620642
Aminii,141.202454,-3.823409
Amio,150.746,-6.10818
Amio Govt. Stn,150.727,-6.11145
Amioi /Ameu,155.434099,-6.676622
Amiong,155.545181,-6.260116
Amitatoka,145.415144,-6.10434
Amiten,145.352507,-4.456563
Amiyugu,145.535438,-6.063892
Amjaivuvu,145.064406,-4.812756
Amko,145.535438,-6.063892
Amlakmete,148.784,-5.82276
Amo Amo,146.578186,-8.526198
Amoi,141.176724,-3.020995
Amoia,148.066452,-9.769107
Amoke,145.547524,-6.102205
Amokutie,145.386491,-6.045771
Amom,142.903064,-3.514525
Amondon,141.168092,-3.690148
Amongabi,143.445548,-4.618783
Amora,145.56137,-6.604205
Amoraba,145.745613,-6.696666
Amotu,159.446781,-4.601548
Ampan Comm.Sch,146.266,-6.272998
Ampisume,153.253399,-3.389784
Ampo Luth/Mission 1,147.019511,-6.72421
Ampo Luth/Mission 2,147.020544,-6.721756
Amput,146.270108,-6.399785
Amron Lutheran Mission,145.774758,-5.130134
Amsor,142.199307,-3.11296
Amsor (Malol),142.199307,-3.11296
Amsuku,141.934245,-3.133398
Amto 1,141.328446,-4.052936
Amto 2,141.343969,-4.086918
Amuapong,155.834538,-6.480929
Amufi No 1,145.559879,-6.456878
Amufi No 2,145.552513,-6.472738
Amuk,144.921959,-4.433409
Amuki Roots,145.339508,-6.094591
Amulut (Incl. Arawe Pltn),149.036,-6.15701
Amumpo,145.685604,-6.299083
Amumsong,149.561,-6.2049
Amun,146.390105,-5.660272
Amun,154.741389,-5.932222
Amunai,155.552373,-6.240528
Amuraika,147.888766,-9.65879
